tick,battery
0,99
1,96
2,93
3,90
4,87
5,84
6,81
7,78
8,75
9,72
10,69
11,66
12,63
13,60
14,57
15,54
16,51
17,48
18,45
19,42
20,39
21,36
22,33
23,30
24,27
25,24
26,21
27,18
28,15
29,12
30,9
31,6
32,3
33,0
34,10
35,20
36,30
37,40
38,50
39,60
40,70
41,80
42,77
43,74
44,71
45,68
46,65
47,62
48,59
49,56
50,53
51,50
52,47
53,44
54,41
55,38
56,35
57,32
58,29
59,26
60,23
61,20
62,17
63,14
64,11
65,21
66,31
67,41
68,51
69,61
70,71
71,81
72,78
73,75
74,72
75,69
76,66
77,63
78,60
79,57
80,54
81,64
82,74
83,84
84,81
85,78
86,75
87,72
88,69
89,66
90,63
91,60
92,57
93,54
94,51
95,48
96,45
97,42
98,39
99,36
100,33
101,30
102,27
103,24
104,21
105,18
106,15
107,12
108,9
109,6
110,3
111,0
112,10
113,20
114,30
115,40
116,50
117,60
118,70
119,80
120,77
121,74
122,84
123,81
124,78
125,75
126,85
127,82
128,79
129,77
130,74
131,71
132,68
133,65
134,62
135,59
136,56
137,53
138,50
139,47
140,44
141,54
142,64
143,74
144,84
145,81
146,78
147,75
148,72
149,69
150,66
151,63
152,60
153,57
154,54
155,51
156,48
157,45
158,42
159,40
160,37
161,34
162,31
163,28
164,25
165,22
166,19
167,16
168,13
169,23
170,33
171,43
172,53
173,63
174,73
175,83
176,80
177,77
178,87
179,84
180,81
181,78
182,75
183,72
184,69
185,66
186,76
187,86
188,83
189,80
190,77
191,74
192,71
193,68
194,65
195,62
196,60
197,57
198,54
199,51
200,48
201,45
202,42
203,39
204,36
205,33
206,30
207,27
208,24
209,21
210,18
211,15
212,25
213,35
214,45
215,55
216,65
217,75
218,85
219,82
220,79
221,76
222,73
223,70
224,67
225,64
226,61
227,58
228,55
229,52
230,49
231,46
232,43
233,40
234,37
235,34
236,31
237,28
238,38
239,48
240,58
241,68
242,78
243,88
244,85
245,82
246,79
247,89
248,86
249,83
250,80
251,77
252,87
253,84
254,81
255,78
256,88
257,85
258,82
259,79
260,76
261,73
262,70
263,67
264,64
265,61
266,58
267,55
268,52
269,49
270,46
271,43
272,40
273,50
274,60
275,70
276,80
277,77
278,74
279,71
280,68
281,65
282,62
283,59
284,56
285,53
286,50
287,47
288,44
289,41
290,38
291,35
292,32
293,29
294,26
295,23
296,20
297,17
298,14
299,11
300,8
301,5
302,2
303,12
304,22
305,32
306,42
307,52
308,62
309,72
310,82
311,79
312,89
313,86
314,83
315,80
316,77
317,87
318,84
319,81
320,78
321,88
322,85
323,82
324,79
325,89
326,86
327,83
328,80
329,77
330,74
331,84
332,81
333,78
334,75
335,72
336,69
337,66
338,63
339,73
340,83
341,80
342,77
343,87
344,84
345,81
346,79
347,76
348,73
349,70
350,67
351,64
352,61
353,58
354,55
355,52
356,49
357,46
358,43
359,40
360,37
361,34
362,31
363,28
364,25
365,22
366,19
367,16
368,13
369,10
370,7
371,17
372,27
373,37
374,47
375,57
376,67
377,77
378,87
379,84
380,81
381,78
382,88
383,85
384,82
385,79
386,89
387,86
388,83
389,80
390,77
391,87
392,84
393,81
394,78
395,88
396,85
397,82
398,79
399,76
400,73
401,70
402,67
403,64
404,61
405,58
406,55
407,52
408,62
409,72
410,82
411,79
412,89
413,86
414,83
415,80
416,77
417,87
418,84
419,81
420,78
421,88
422,85
423,82
424,79
425,76
426,73
427,70
428,67
429,64
430,61
431,58
432,55
433,52
