tick,clean
0,63
1,62
2,62
3,62
4,63
5,63
6,62
7,62
8,62
9,62
10,63
11,62
12,62
13,63
14,63
15,64
16,63
17,63
18,64
19,64
20,64
21,63
22,64
23,64
24,64
25,64
26,63
27,63
28,63
29,63
30,63
31,62
32,62
33,62
34,62
35,62
36,61
37,61
38,61
39,62
40,62
41,61
42,62
43,62
44,62
45,63
46,63
47,63
48,63
49,63
50,63
51,63
52,63
53,63
54,63
55,63
56,62
57,62
58,62
59,62
60,62
61,61
62,62
63,62
64,62
65,62
66,62
67,62
68,62
69,62
70,62
71,61
72,61
73,62
74,62
75,62
76,61
77,61
78,61
79,61
80,61
81,61
82,61
83,61
84,61
85,61
86,60
87,60
88,60
89,60
90,60
91,59
92,59
93,59
94,59
95,59
96,58
97,58
98,59
99,59
100,59
101,59
102,59
103,59
104,59
105,59
106,58
107,58
108,58
109,58
110,58
111,57
112,57
113,57
114,57
115,57
116,56
117,56
118,57
119,57
120,58
121,58
122,58
123,58
124,58
125,59
126,58
127,58
128,60
129,61
130,61
131,60
132,60
133,61
134,61
135,61
136,60
137,60
138,60
139,60
140,60
141,59
142,59
143,59
144,59
145,59
146,58
147,58
148,58
149,59
150,59
151,58
152,58
153,58
154,59
155,59
156,58
157,59
158,59
159,60
160,62
161,61
162,61
163,61
164,61
165,62
166,61
167,61
168,61
169,61
170,61
171,60
172,60
173,60
174,60
175,60
176,59
177,59
178,59
179,59
180,59
181,58
182,58
183,58
184,58
185,58
186,57
187,59
188,60
189,60
190,61
191,60
192,60
193,60
194,60
195,60
196,60
197,60
198,60
199,60
200,60
201,59
202,59
203,59
204,59
205,59
206,58
207,58
208,59
209,59
210,59
211,60
212,60
213,60
214,60
215,60
216,59
217,59
218,60
219,61
220,61
221,60
222,61
223,61
224,61
225,61
226,60
227,60
228,60
229,60
230,60
231,60
232,61
233,61
234,61
235,62
236,61
237,61
238,61
239,61
240,62
241,61
242,61
243,61
244,61
245,61
246,60
247,60
248,60
249,60
250,60
251,59
252,59
253,59
254,59
255,59
256,59
257,60
258,60
259,61
260,61
261,60
262,61
263,61
264,62
265,62
266,61
267,61
268,61
269,62
270,62
271,61
272,61
273,61
274,61
275,61
276,60
277,60
278,60
279,60
280,60
281,59
282,59
283,59
284,59
285,59
286,58
287,58
288,58
289,58
290,58
291,57
292,57
293,57
294,57
295,58
296,58
297,58
298,58
299,59
300,59
301,58
302,59
303,59
304,60
305,60
306,59
307,59
308,59
309,59
310,59
311,58
312,58
313,58
314,58
315,58
316,57
317,57
318,57
319,58
320,58
321,58
322,59
323,60
324,60
325,60
326,59
327,59
328,60
329,60
330,61
331,60
332,60
333,61
334,63
335,63
336,62
337,62
338,62
339,62
340,62
341,61
342,61
343,61
344,61
345,61
346,61
347,61
348,61
349,61
350,61
351,61
352,61
353,61
354,61
355,61
356,60
357,60
358,60
359,61
360,61
361,60
362,60
363,60
364,60
365,60
366,59
367,59
368,59
369,59
370,59
371,58
372,58
373,58
374,58
375,58
376,57
377,57
378,57
379,57
380,58
381,57
382,57
383,57
384,57
385,57
386,56
387,57
388,57
389,57
390,57
391,56
392,57
393,57
394,57
395,57
396,57
397,57
398,58
399,59
400,59
401,58
402,58
403,59
404,59
405,59
406,58
407,58
408,58
409,58
410,58
411,57
412,57
413,57
414,57
415,57
416,56
417,56
418,56
419,56
420,56
421,55
422,55
423,55
424,55
425,55
426,54
427,56
428,56
429,56
430,57
431,58
432,59
433,59
