tick,dirty
0,1
1,2
2,2
3,2
4,1
5,1
6,2
7,2
8,2
9,2
10,1
11,2
12,2
13,1
14,1
15,0
16,1
17,1
18,0
19,0
20,0
21,1
22,0
23,0
24,0
25,0
26,1
27,1
28,1
29,1
30,1
31,2
32,2
33,2
34,2
35,2
36,3
37,3
38,3
39,2
40,2
41,3
42,2
43,2
44,2
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,2
57,2
58,2
59,2
60,2
61,3
62,2
63,2
64,2
65,2
66,2
67,2
68,2
69,2
70,2
71,3
72,3
73,2
74,2
75,2
76,3
77,3
78,3
79,3
80,3
81,3
82,3
83,3
84,3
85,3
86,4
87,4
88,4
89,4
90,4
91,5
92,5
93,5
94,5
95,5
96,6
97,6
98,5
99,5
100,5
101,5
102,5
103,5
104,5
105,5
106,6
107,6
108,6
109,6
110,6
111,7
112,7
113,7
114,7
115,7
116,8
117,8
118,7
119,7
120,6
121,6
122,6
123,6
124,6
125,5
126,6
127,6
128,4
129,3
130,3
131,4
132,4
133,3
134,3
135,3
136,4
137,4
138,4
139,4
140,4
141,5
142,5
143,5
144,5
145,5
146,6
147,6
148,6
149,5
150,5
151,6
152,6
153,6
154,5
155,5
156,6
157,5
158,5
159,4
160,2
161,3
162,3
163,3
164,3
165,2
166,3
167,3
168,3
169,3
170,3
171,4
172,4
173,4
174,4
175,4
176,5
177,5
178,5
179,5
180,5
181,6
182,6
183,6
184,6
185,6
186,7
187,5
188,4
189,4
190,3
191,4
192,4
193,4
194,4
195,4
196,4
197,4
198,4
199,4
200,4
201,5
202,5
203,5
204,5
205,5
206,6
207,6
208,5
209,5
210,5
211,4
212,4
213,4
214,4
215,4
216,5
217,5
218,4
219,3
220,3
221,4
222,3
223,3
224,3
225,3
226,4
227,4
228,4
229,4
230,4
231,4
232,3
233,3
234,3
235,2
236,3
237,3
238,3
239,3
240,2
241,3
242,3
243,3
244,3
245,3
246,4
247,4
248,4
249,4
250,4
251,5
252,5
253,5
254,5
255,5
256,5
257,4
258,4
259,3
260,3
261,4
262,3
263,3
264,2
265,2
266,3
267,3
268,3
269,2
270,2
271,3
272,3
273,3
274,3
275,3
276,4
277,4
278,4
279,4
280,4
281,5
282,5
283,5
284,5
285,5
286,6
287,6
288,6
289,6
290,6
291,7
292,7
293,7
294,7
295,6
296,6
297,6
298,6
299,5
300,5
301,6
302,5
303,5
304,4
305,4
306,5
307,5
308,5
309,5
310,5
311,6
312,6
313,6
314,6
315,6
316,7
317,7
318,7
319,6
320,6
321,6
322,5
323,4
324,4
325,4
326,5
327,5
328,4
329,4
330,3
331,4
332,4
333,3
334,1
335,1
336,2
337,2
338,2
339,2
340,2
341,3
342,3
343,3
344,3
345,3
346,3
347,3
348,3
349,3
350,3
351,3
352,3
353,3
354,3
355,3
356,4
357,4
358,4
359,3
360,3
361,4
362,4
363,4
364,4
365,4
366,5
367,5
368,5
369,5
370,5
371,6
372,6
373,6
374,6
375,6
376,7
377,7
378,7
379,7
380,6
381,7
382,7
383,7
384,7
385,7
386,8
387,7
388,7
389,7
390,7
391,8
392,7
393,7
394,7
395,7
396,7
397,7
398,6
399,5
400,5
401,6
402,6
403,5
404,5
405,5
406,6
407,6
408,6
409,6
410,6
411,7
412,7
413,7
414,7
415,7
416,8
417,8
418,8
419,8
420,8
421,9
422,9
423,9
424,9
425,9
426,10
427,8
428,8
429,8
430,7
431,6
432,5
433,5
